id,text,overall_anxiety,career_path_confusion,salary_gap,workplace_involution,identity_crisis,sentiment,confidence,key_phrases,explanation
11,c 5Sonnenschein 04月03日 18:25 来自 iPhone客户端 考 研 六 战 上岸这种事居然真实地发生在了我身上 蹉跎的这些年啊： ［在校一年+脱产四年+在职一年］ 1️⃣2️⃣东 华×2年 （数学水平实在做不到在金融学的圈子卷） →3️⃣上 财 （跨文科的第一年 稀烂） →4️⃣上 财 （专业课分数大涨 终于相信自己可以学好新学科 但总分不够院线 且压分 展开c,0.65,0.7,0.4,0.6,0.6,negative,0.85,考 研 六 战 上岸这种事居然真实地发生在了我身上; 蹉跎的这些年啊：［在校一年+脱产四年+在职一年］; 数学水平实在做不到在金融学的圈子卷; 专业课分数大涨 终于相信自己可以学好新学科 但总分不够院线 且压分,文本中表达了对职业发展路径的迷茫（如‘蹉跎的这些年’、‘数学水平实在做不到在金融学的圈子卷’），显示出对自身发展方向的不确定。虽然没有直接提到薪酬问题，但通过描述多次考研和跨专业学习，暗示了可能存在的
12,c 思想聚焦 03月19日 21:02 转赞人数超过7500 来自 微博网页版 #30岁辞职换赛道有多勇敢# 胡允庭：hr转行成模特； 苏咏豪：工程师转行成咖啡师； 梁田：辞去湖南台主持人工作尝试演话剧、做自媒体，环游世界寻找人生更多的可能性； 任嘉碧：传媒行业转行去金融行业...... 看到#半熟恋人# 里这些素人嘉宾的职业小片，再一次被他们跳出自我，勇敢转行的决心感动到 展开c 播放视频,0.2,0.3,0.1,0.1,0.2,positive,0.85,勇敢转行的决心; 跳出自我; 寻找人生更多的可能性,文本主要描述了多位职场人士成功转行的案例，强调他们的勇气和对新生活的探索。整体情绪积极向上，没有明显表现出焦虑情绪。但提到‘发展路径迷茫’时，有轻微暗示对职业方向不确定的担忧（如‘寻找人生更多的可能性
13,c 赵老师很努力 03月17日 11:11 凡事发生，皆有利于我 想要强大和不纠缠、纠结于已经发生的事情，要有一种心态：相信凡事发生，皆有利于我。 坚持我永远是幸存者而非受害者的强者心态。同一件事，弱者的关注点永远在于风险和损失，而强者则会往机遇与成长角度去看待。越把自己当弱者，越容易感受到伤害，丧失主观能动性，自此一蹶不 展开c,0.2,0.1,0.1,0.3,0.2,positive,0.85,凡事发生，皆有利于我; 相信凡事发生，皆有利于我; 强者心态; 弱者关注点在于风险和损失; 越把自己当弱者，越容易感受到伤害,文本主要强调积极的心态调整，如‘凡事发生，皆有利于我’和‘强者心态’，表明作者试图通过心理建设来缓解焦虑。虽然提到职场竞争（如‘内卷’）和身份认同的挑战，但整体情绪偏向正面，因此焦虑指数较低。文本中没
14,c 小貉同志 03月05日 23:01 转赞人数超过10 来自 🐟🐧劳iPhone 15 Pro 3.4 面试记录2 旅行会社财务岗 其实最开始完全没有打算再做金融财务相关了，这个公司当时应聘的是旅行企画岗位，hr小妹加了我微信问我是否愿意面试财务BP岗与我十分相符，第一次我是立马拒绝了因为不想做财务了，但是对方hr小妹真的很有礼貌，想了想当个锻炼就答应去面试了，其实没太想去这个岗位. 昨 展开c...,0.4,0.6,0.2,0.3,0.5,neutral,0.85,其实最开始完全没有打算再做金融财务相关了; 第一次我是立马拒绝了因为不想做财务了; 其实没太想去这个岗位,文本中表达了对职业方向的不确定性（如‘其实最开始完全没有打算再做金融财务相关了’），显示出发展路径迷茫。虽然提到‘不想做财务了’，但没有明确表达对薪酬的不满，因此薪酬落差较低。文中未提及工作压力或竞争
15,c 都业华 02月17日 20:32 转赞人数超过100 来自 微博视频号 分享视频 L都业华的微博视频 播放视频,0.0,0.0,0.0,0.0,0.0,neutral,0.95,转赞人数超过100; 来自 微博视频号,该文本仅描述了一个微博视频的分享信息，包含时间、用户、点赞和转发数据以及来源平台。没有直接或间接表达出与职业发展、薪酬、内卷或身份认同相关的焦虑情绪。因此，四个维度的焦虑指数均为0。情感倾向为中性，因
16,c 小透明明TM 02月06日 22:26 转赞人数超过50 来自 微博视频号 采访过年不回家的人！他们为什么不回家？他们的回答，让我们看到了人间百态，内心受到极大的震撼… #春节不回家的人##年轻人断亲了吗# #回乡见闻# L小透明明TM的微博视频 播放视频,0.2,0.1,0.1,0.3,0.2,neutral,0.85,内心受到极大的震撼; 人间百态,该文本主要描述了春节期间不回家的人的采访内容，呈现了不同人的生活状态和选择。虽然提到‘内心受到极大的震撼’，但并未直接表达对自身职业发展、薪酬、职场竞争或身份认同的焦虑。因此，四个维度的焦虑指数较低，
17,c 柴非柴也 01月09日 04:25 来自 iPhone 14 Pro 好累啊 累的想眼睛一闭死过去算了 今天出了大二sem1的成绩 烂 比上学期还低 出乎意料的低 本来希望这学期能把gpa拉上去的 呵呵真是白日做梦 但是看看专业同学们呢基本都是拿到了很好的成绩 我真不知道我还有什么理由每天佯装成欣欣向荣的样子告诉别人我过得很好 明明什么都做不好。 外貌形象 我也并 展开c,0.75,0.6,0.2,0.8,0.9,negative,0.85,好累啊 累的想眼睛一闭死过去算了; 比上学期还低 出乎意料的低; 白日做梦; 明明什么都做不好; 假装成欣欣向荣的样子,文本中表现出强烈的自我否定和对学业成绩的失望，反映出身份认同危机（如‘明明什么都做不好’）和职场内卷压力（如‘出乎意料的低’、‘假装成欣欣向荣的样子’）。虽然没有直接提到职业发展路径或薪酬问题，但通过
18,c Hellobox_ 2024年12月29日 22:12 来自 OPPO Reno8 Pro 5G 上一次以相似的心境去写总结 还是在22年的秋天 那时虽也有着「找到出路」的开阔 有着「已过万重山」的释然 却不曾想 下一场长达两年的混沌便从那一刻开始了 起初为了贴近专业 去尝试了一份银行实习 过程是漫长且痛苦的但并不是徒劳的 至少它坚定了我未来不去银行的决心 研究生入学后 逐渐对金融无感甚 展开...,0.65,0.75,0.3,0.4,0.6,negative,0.85,找到出路; 已过万重山; 长达两年的混沌; 漫长且痛苦; 坚定未来不去银行的决心; 对金融无感,文本中表现出明显的焦虑情绪，主要集中在职业发展路径的迷茫（如‘长达两年的混沌’、‘坚定未来不去银行的决心’）和身份认同的不确定（如‘对金融无感’）。虽然没有直接提到薪酬落差或职场内卷的具体内容，但通过
19,c MikeyNew 2024年09月24日 13:09 来自 iPhone客户端 9.23有感 昨天下班回家后网点负责人打了个电话过来 我以为是质问我为啥那么早就溜了 结果电话那头是他很开心的表扬我说我工作干得很好 我一脸懵逼但也很开心 得出结论 原来工作比男人靠谱多了 只要略施小计对方就心满意足了 去参加政府的活动 原本坐在边上抓大鹅 刚好路过同事同一金融系统的朋友 旁边 展开c,0.2,0.1,0.1,0.3,0.2,neutral,0.85,一脸懵逼但也很开心; 工作比男人靠谱多了; 略施小计对方就心满意足了,文本整体情绪较为中性，描述了一次意外的表扬和对职场行为的反思。虽然提到‘一脸懵逼但也很开心’，但并未表现出强烈的焦虑情绪。‘工作比男人靠谱多了’和‘略施小计对方就心满意足了’暗示了对职场关系的某种无奈
20,c 王大力如山 2024年09月06日 08:37 来自 微博音频 #听见微博# #微博声浪计划# 大家好，我是就业研究员贝贝。 本期节目邀请的嘉宾是我的高中同学：钒钒。我和钒钒高中时是同桌，平时上课下课老爱讲话，我明明记得他作为化学课代表，那时候跟我讲他想报考材料化学，结果后来居然干到北邮读信息工程去了。但不管他曾经的志向是什么，当年像我俩最后一个读 展开c 播放视频,0.1,0.2,0.0,0.0,0.1,neutral,0.85,职业发展方向不明确; 当年像我俩最后一个读,文本内容主要描述了作者与高中同学的回忆，提及对方曾有不同专业志向但最终选择不同路径。虽然提到‘职业发展方向不明确’，但整体语气较为轻松，没有表现出强烈的焦虑情绪。其他维度如薪酬落差、职场内卷和身份认同
21,c RoynMOk 2024年08月19日 18:41 来自 微博轻享版 又陷入反刍了，不过能了解到一些侧面也有点用，总归是需要复盘的。 和同学吃饭聊到2进1那个金融男现在已成功入职。第一反应是，当时周围人果真就是安慰我。但现在想来确实我是去寻求他们的安慰。。。说他也不一定能留下，我当真了，虽然当时对缓解我莫名躁动的情绪有用，但毕竟事后还能做什么吗，大家 展开c,0.65,0.7,0.3,0.6,0.6,negative,0.85,陷入反刍了; 寻求他们的安慰; 莫名躁动的情绪; 事后还能做什么吗,文本中表现出较强的对职业发展路径的迷茫（如‘需要复盘’、‘当时周围人果真就是安慰我’），以及对职场竞争和身份认同的焦虑（如‘2进1那个金融男现在已成功入职’、‘说他也不一定能留下’）。虽然没有直接提到
22,c 枣庄在线 2024年06月05日 16:00 来自 Note 10 #毕业后找工作还是考研#1.切合实际不盲目跟风 先考研还是先就业，是见仁见智。总体来说，要根据大环境，如果大环境对就业有利，不如先就业，但一定要提醒自己，即使是工作了，也要提高自己。 每个人都有自己的梦想、自己的追求、自己的目标。不同的人，经历不同，背景不同，选择也是 展开c,0.2,0.3,0.1,0.1,0.2,neutral,0.85,切合实际不盲目跟风; 先考研还是先就业，是见仁见智; 每个人都有自己的梦想、自己的追求、自己的目标,文本主要讨论了毕业后选择考研还是就业的问题，强调根据大环境和个人情况做出决策。虽然提到‘发展路径迷茫’（如‘先考研还是先就业，是见仁见智’），但整体语气较为理性且中立，没有表现出强烈的焦虑情绪。薪酬落
23,c 月亮凑过来听啦 2024年06月01日 02:56 来自 nova7SE 5G你在焦点在 是谁凌晨还在加班，是谁月结的时候今天不是被这个同事喊就是那个同事喊不停的问这个怎么处理，应了我艳姐一句话骚瑞 我要四分五裂了，是谁活儿都干不完还要帮人解决问题，是我这个大冤种，是谁干到最后发现哦豁要交税咯，一看前所未有的多，前所未有的让我怂怂给店长发消息，果然这个数字shua的让店长 展开c,0.75,0.3,0.6,0.8,0.7,negative,0.9,凌晨还在加班; 月结的时候今天不是被这个同事喊就是那个同事喊; 活儿都干不完还要帮人解决问题; 要交税咯，一看前所未有的多; 怂怂给店长发消息,文本中表达了强烈的职场压力和不满情绪。'凌晨还在加班'和'活儿都干不完还要帮人解决问题'表明工作量大、内卷严重，因此 Workplace Involution 得分较高（0.8）。'要交税咯，一看前所
24,c o林川o 2024年05月10日 13:05 来自 iPhone客户端 今天单位校招，来了不少俊男靓女，看着一张张充满活力、洋溢着生机的笑脸，既羡慕又很感概。23年前曾经也有这样一个年青人满怀着憧憬和豪情，满载奋斗的力量，挥手告别学生时代，阔步踏上金融打工者的征途。 在大学生是否应入职银行的问题上，与同事产生了很大分歧。对方认为银行收入不高但贵 展开c,0.4,0.3,0.2,0.5,0.4,negative,0.85,既羡慕又很感概; 与同事产生了很大分歧; 收入不高但贵,文本中表现出对自身职业发展和现状的反思，如‘既羡慕又很感概’暗示了对过去与现在的对比，可能引发对职业路径的迷茫。提到‘与同事产生了很大分歧’表明在职业选择上存在冲突，可能涉及对薪酬或工作环境的不满。虽
25,c 社畜茶水间 2024年04月09日 10:56 来自 2号咖啡机iPhone 11 投稿： 茶茶好，递上茉酸奶通畅套餐香蕉酸奶杯。最近很迷茫，想请大家帮我分析一下我下一步怎么走😭真的不太敢裸辞。 双非本，毕业后GAP一年后入职了现在的公司，在从事一个和本专业毫无关系的职业，可持续金融方向，算半个金融业吧。目前已经入职两年，老板画饼说明年初要给晋升。 我的困扰： 1、 展开c,0.75,0.8,0.6,0.7,0.7,negative,0.9,最近很迷茫; 不太敢裸辞; 和本专业毫无关系; 老板画饼说明年初要给晋升; 可持续金融方向,文本中表达了强烈的‘迷茫’情绪，明确提到‘不太敢裸辞’，显示出对职业发展方向的不确定性和对当前工作的依赖。虽然没有直接提到薪酬问题，但‘双非本’和‘与本专业无关’可能暗示了对自身价值的怀疑，从而带来一
26,c Fantasy-On-Journey 2024年03月01日 01:55 来自 iPhone 13 Pro 匈牙利求学之旅本来就是一场死马当活马医。想通这点就没必要焦虑了。 上周四收到花旗人力的电话，说面试官认为我更适合全职工作，而不是实习生。她说可能会在这周安排新的工作岗位面试。但是今天周四了，人力也没有打过来，估计是在养鱼了吧。 我之前也面过他们的全职岗位，初级和高级的，但达不到他 展开c,0.65,0.7,0.3,0.5,0.6,negative,0.85,死马当活马医; 没有打过来，估计是在养鱼了吧; 想通这点就没必要焦虑了; 更适合全职工作,文本中表达了对职业发展路径的不确定感（如‘死马当活马医’、‘更适合全职工作’），显示出一定的职业方向迷茫。虽然提到‘没必要焦虑’，但整体情绪仍偏向负面。薪酬落差不明显，但存在对职位匹配度的担忧。职场内
27,c 诨名唤作巴布尔 2024年01月08日 17:04 来自 微博网页版 大学那会上社会学的导论课，记住了一句话：你以为只有你一个人出了问题，但其实大家都这样啦。 最近又想到这句话，是看到抖音上有一位创作者叫“在下辉子”，他的走红起步于一个创意——开盲盒探访高中同学，每期抽一个同学去联系，了解他们现在过着什么样的生活。 类似的创意我在纪录片《人生七年》 展开c,0.2,0.3,0.1,0.2,0.2,neutral,0.85,你以为只有你一个人出了问题，但其实大家都这样啦; 开盲盒探访高中同学,文本中提到‘你以为只有你一个人出了问题，但其实大家都这样啦’，这表明作者对自身处境的焦虑可能与普遍现象有关，暗示了对职业发展路径的不确定感（0.3）。虽然没有直接提及薪酬或内卷的具体内容，但通过‘开盲
28,c 坠入白日梦境 2023-12-05 18:07 转赞人数超过200 来自 刘扬扬是甜甜的Bling星 我是男的，今年47岁了，今年4月份被裁员了，从5月份开始我就一直呆在家里。 我其实3月份就知道自己要被裁员的消息了，也托了身边的同事、前同事、领导、领导的领导、同学、客户、上下游供应商，甚至2年前买我家房子的下家，我都联系了，委托他们帮忙投简历，寻找工作机会。 我刚开始也像你一样，生活 展开c,0.75,0.8,0.6,0.5,0.9,negative,0.85,被裁员; 一直呆在家里; 托了身边的同事、前同事、领导、领导的领导、同学、客户、上下游供应商，甚至2年前买我家房子的下家; 生活展开,文本中表现出强烈的职场焦虑情绪。首先，该用户47岁被裁员后长期失业，显示出对职业发展路径的迷茫（career_path_confusion: 0.8）。其次，虽然未直接提到薪酬问题，但其被裁员和长期无
29,c SharisAnya 2023年11月26日 17:20 来自 iPhone客户端 Lydia组的局 找一些金融圈的朋友们出来坐坐 本来我是抱着十足学习的心态去的 把自己姿态放得很低 一直引导大家说出他们的观点 因为我太喜欢听到别人真实而独立的见解了 结果听到的太多都是僵化和禁锢的单一思维 感受到浓厚的被职场打磨和限制的原地踏步氛围 实在好失望 感叹在CHN国内绝对不能买基金 其 展开c,0.65,0.7,0.3,0.5,0.6,negative,0.85,十足学习的心态; 引导大家说出他们的观点; 僵化和禁锢的单一思维; 浓厚的被职场打磨和限制的原地踏步氛围; 实在好失望,文本中表达了对职场环境的失望，尤其是对金融圈内普遍存在的单一思维和缺乏创新感到沮丧。这反映了对职业发展方向（career_path_confusion）的迷茫，以及对职场氛围（workplace_in
30,c 发牌手杰克 2023-09-01 10:29 转赞人数超过30 来自 iPhone 13 Pro Max 9月初秋，分享一则小小东西。 昨天陆续有小伙伴收到哥哥送出的礼物之后，后台有人私信问我，为什么杰克哥哥和别的财经博主感觉完全不是一种风格。给外界的感觉，仿佛就是网络上的财经博主就分成“发牌手杰克”和“其他”，就这两款。 这个问题其实回答起来非常复杂，我只能简单描绘： 1，我实际上从 展开c,0.2,0.1,0.1,0.3,0.2,neutral,0.85,为什么杰克哥哥和别的财经博主感觉完全不是一种风格; 仿佛就是网络上的财经博主就分成“发牌手杰克”和“其他”，就这两款,文本内容主要围绕个人职业风格与他人差异的讨论，未直接提及对职业发展路径、薪酬待遇或职场内卷的强烈焦虑。但提到‘仿佛就是网络上的财经博主就分成……’，暗示了身份认同上的不确定感（即是否被归类为某种特定类
31,c 善护念智慧 2023年08月06日 13:59 来自 小米10 至尊纪念版 老师好，我是山东济宁邹城的女生，农历1990年八月初二戌时。我想问问自己适合做什么工作(三分钟热度没耐心)，感觉自己在同龄人中是个没用的废物...一事无成一无是处... 奇门卦象分析： 您好，从您陈述来看，您确实比较忧郁，首先此卦没有伏吟，那么您不是废物，这点您必须马上调整心态，5月9日为壬戌 展开c,0.75,0.8,0.3,0.6,0.9,negative,0.85,三分钟热度没耐心; 没用的废物; 一事无成一无是处,文本中表现出强烈的自我否定和对职业方向的迷茫，如‘三分钟热度没耐心’和‘没用的废物’等表达显示出明显的身份认同危机和职业发展焦虑。虽然没有直接提到薪酬或内卷的具体内容，但‘一事无成一无是处’暗示了对自
32,c 美美小兔子 2023-07-06 13:14 转赞人数超过40 来自 iPhone 14 Pro Max #兔总的职场和教育分享# 【图1题主】 兔子姐姐您好！打扰啦～今天看到您发高考志愿的微博，所以我也想替我妹妹问一下做参考。 我妹妹也是今年高考理科，超了重本16分，湖南省排名87000名。 她自己想报好一些的大学，比如：湖南农业大学、湖南科技大学、中南林业科技大学、湖南中医药大学。 但是这...,0.1,0.2,0.0,0.0,0.1,neutral,0.85,超了重本16分; 湖南省排名87000名; 想报好一些的大学,文本内容主要围绕高考志愿选择展开，属于对教育路径的讨论，而非直接表达职场焦虑。虽然提到‘想报好一些的大学’可能隐含对未来发展路径的担忧，但整体情绪较为中性，未表现出强烈的焦虑情绪。因此，四个维度的焦虑
33,c 为好优姐姐 2023年03月14日 09:22 来自 为好优求职超话 从市场高位往外跳槽，薪资怎么要，算是合适呢？ 这是我辅导从大厂出来的同学，以及从银行出来的同学，最难的环节。 其实从大厂和银行出来的同学，通常能力素质学历都没问题，那么不管快慢，总归会有市场回应你的，最难的其实是谈薪资——因为你原来的薪资高于市场平均水平，但是原来的平台其薪资又自成 展开c,0.65,0.4,0.8,0.3,0.5,negative,0.85,从市场高位往外跳槽; 薪资怎么要，算是合适呢？; 原来的薪资高于市场平均水平; 最难的环节; 自成,文本主要围绕跳槽时的薪酬谈判问题展开，表现出对薪资落差的强烈焦虑（0.8），因为提到‘原来的薪资高于市场平均水平’但又面临‘最难的环节’。同时，用户对职业发展路径存在一定的不确定感（0.4），但未明确
34,c 斜杠少女范米索 2023年03月02日 22:57 来自 iPhone客户端 今天有一件对我触动蛮大的事情，还是挺想拿出来分享一下的。 我是个挺‘贪心’的人，也是因为‘贪心’使得我的内容输出非常多元、多维，包罗万象，我不精于输出某个领域，非要限制一个领域，我只会说所有内容都围绕着个体的成长，成人教育在运作。 因此，在我这里，职场、商业、投资、文学、情感…… 展开c,0.2,0.3,0.1,0.2,0.2,neutral,0.85,贪心; 内容输出非常多元、多维; 不精于输出某个领域; 所有内容都围绕着个体的成长,文本中提到‘贪心’和‘内容输出非常多元、多维’，显示出作者在职业方向上存在一定的不确定性，但并未明确表达对职业发展路径的强烈焦虑。关于薪酬落差和职场内卷，文本中没有直接提及相关词汇或情绪。身份认同方面
35,c 瑞瑞妈的长期主义 2023年02月07日 09:33 来自 微博网页版 #职场那些事儿# 聊工作：年后跳槽，这些地方需要注意。 1⃣️不要裸辞 熟悉瑞瑞妈的妹子应该知道，我反复跟大家强调：能忍则忍，不要裸辞。 现在市场环境虽然在慢慢转好，但需要一个过程，短期内无法见效。 年后很多公司开始裁员和优化（尤其是高薪岗位），好的坑位不是没有，但确实越来越少。 我是 展开c,0.6,0.5,0.4,0.7,0.3,negative,0.85,不要裸辞; 市场环境虽然在慢慢转好，但需要一个过程; 短期内无法见效; 年后很多公司开始裁员和优化; 好的坑位不是没有，但确实越来越少,文本中提到‘不要裸辞’、‘市场环境虽好转但需时间’、‘裁员和优化’等表达，反映出对职业发展路径的不确定性和职场竞争压力的担忧。‘好的坑位越来越少’暗示了职场内卷的加剧，因此 Workplace Inv
36,c 为好优姐姐 2023年02月02日 10:13 来自 为好优求职超话 很多朋友从财务、金融、社科类领域转行的时候，会向往律师，那么我介绍一下，律师领域的整体氛围。 首先，为什么会有很多财经社科类朋友，转行想要成为律师呢？几点原因。 一是安全感，觉得财经社科类很软，而律师是有技术的，而且有越老越值钱的倾向，当然律师也给人社会地位的感觉。 二是价值感，律 展开c,0.2,0.3,0.1,0.2,0.2,neutral,0.85,对职业发展方向不明确; 越老越值钱的倾向; 社会地位的感觉; 价值感,文本主要在介绍律师行业的吸引力，如安全感、价值感和地位感，但并未直接表达强烈的焦虑情绪。然而，提到‘职业发展方向不明确’和‘越老越值钱’等表述，暗示了部分人可能对职业路径存在一定的迷茫和不确定性。整体
