id,text,overall_anxiety,career_path_confusion,salary_gap,workplace_involution,identity_crisis,sentiment,confidence,key_phrases,explanation
11,c 搞钱女孩播客 11月27日 14:54 转赞人数超过40 来自 微博音频 #微博声浪计划# #听见微博# “生活是字，键盘是笔，女王是我！” 试麦时大声喊出的这句话，恰如喜剧演员李逗逗的人生写照。 七年前，她是格子间里一边翻译邮件一边流泪的“职场牛马”，七年后，她是《喜人奇妙夜》舞台上创演俱佳的“孤独女王”。从一喜被淘汰到二喜靠独角戏自成一派，从喜一“冷冰凝爱 展开c 播放视频,0.2,0.1,0.1,0.3,0.2,positive,0.85,职场牛马; 孤独女王; 创演俱佳; 从一喜被淘汰到二喜靠独角戏自成一派,文本整体呈现积极向上的基调，讲述一位职场女性通过努力实现自我突破的故事。虽然提到‘职场牛马’和‘从一喜被淘汰’等略带负面情绪的表达，但整体更强调成长与转变。因此，焦虑指数较低。发展路径迷茫和身份认同焦
12,c 彪吵吵 11月26日 21:04 来自 HUAWEI Pura 70 Pro #涨知识﻿ ﻿# 女性称呼避坑指南，一开口就赢了90%的人 “大姐”“阿姨”“老师”……你随口一句，她瞬间下头。 地铁里，一位西装男对陌生女孩说：“大姐，请问……” 女孩当场黑脸：“你才是大姐，你全家都大姐。” 别笑，这可能是很多人经历过的社死现场。 称呼，是成本最低的善良，也是最高级的体 展开c,0.2,0.1,0.1,0.2,0.3,neutral,0.85,社死现场; 一开口就赢了90%的人; 瞬间下头; 成本最低的善良,文本主要围绕职场中称呼不当可能引发的尴尬情境，强调沟通技巧的重要性。虽然提及‘社死现场’等负面情绪表达，但整体语境偏向中性，旨在提供实用建议而非直接表达焦虑。因此，四个维度的焦虑指数均较低，其中身份认
13,c 阿汝娜老师 11月17日 18:00 来自 微博网页版 怎么修“财路”？ 很多人以为按部就班：好好读书、找个安稳工作、买套房……钱就自然来了。 可现实往往啪啪打脸——这老套路，怎么就失灵了？ 今天聊聊我的理解：金钱，到底该怎么玩？ 金钱法则：探寻财富流动密码 在我看来，金钱有着它独特的流动法则。 过去，很多人认为好好读书、找个好工作， 展开c,0.3,0.4,0.2,0.3,0.2,neutral,0.85,按部就班：好好读书、找个安稳工作、买套房……钱就自然来了; 现实往往啪啪打脸——这老套路，怎么就失灵了？; 金钱，到底该怎么玩？,文本主要探讨传统职业发展路径（如读书、稳定工作）在现实中可能失效的问题，表现出对职业发展方向的不确定性（发展路径迷茫），但并未直接提及薪酬落差或身份认同问题。职场内卷虽未明确提及，但通过‘老套路失灵’
14,c 语嫣往事 11月13日 23:34 来自 微博视频号 #辛巴徒弟蛋蛋称长期遭职场暴力# 伽柏澄清自己不是蛋蛋的老板，蛋蛋直言如果你们是我经历了所有的一切，你们有可能在三年前就已经永远消失了，消失在这个互联网了！ 伽柏：今天我没有在你身边，所以我今天的助播费可能没有了，我每给蛋蛋助播，一天给我两千块钱呢，这两天都说我是蛋蛋的老板，大家千 展开c 播放视频,0.65,0.4,0.7,0.8,0.6,negative,0.85,长期遭职场暴力; 可能没有了; 消失在这个互联网了; 不是蛋蛋的老板,文本中提到‘长期遭职场暴力’和‘如果你们是我经历了所有的一切，你们有可能在三年前就已经永远消失了’，显示出强烈的职场压力和对职业安全的担忧，因此‘职场内卷’和‘薪酬落差’的焦虑指数较高。同时，‘不是蛋
15,c 小贝的挖宝手册 11月12日 19:35 来自 微博网页版 防止在工作中奴性太强的小tips： 1、工作要留痕迹 所有任务通过邮件、文档或群里确认，避免口头指令。这样出了问题有凭证，不会白背锅。 2、拒绝时不用解释太多 “不合适”“我没法接这个活”就够了，不需要写小作文。解释越多，越显得理亏。 3、按时上下班，做好本职工作，工作只是生活的一种手段， 展开c,0.3,0.2,0.1,0.4,0.3,neutral,0.85,防止在工作中奴性太强; 避免白背锅; 拒绝时不用解释太多; 工作只是生活的一种手段,文本主要关注职场中如何保护自身权益，避免被误解或过度承担责任。这反映出对职场竞争和压力的一定焦虑（如‘防止在工作中奴性太强’、‘避免白背锅’），但并未直接提及职业发展路径、薪酬落差或身份认同问题。因此
16,c 多玛尼尼 11月10日 15:27 来自 iPhone客户端 好烦好烦好烦心情差到极点！！本次体验非常不好，深刻体会到了有人在的地方就有江湖，本来我以为大家乐乐呵呵一起追就好，毕竟也没几个人了结果完全不是这样，出来玩是为了高兴的，结果还搞拉帮结派这套妈呀，简直堪比职场，是我见识太少，我果然不属于饭圈。再也不想去了，心好累。我确实 展开c,0.75,0.2,0.1,0.8,0.7,negative,0.9,好烦好烦好烦; 心情差到极点; 有人在的地方就有江湖; 拉帮结派; 心好累; 再也不想去了,文本中表达了强烈的负面情绪，尤其是对职场环境的不满和对归属感的失落。'有人在的地方就有江湖' 和 '拉帮结派' 显示了对职场内卷和人际关系复杂性的焦虑；'心好累' 和 '再也不想去了' 表明身份认同和
17,c 糖先生的密室 11月08日 17:43 来自 唐果和他的朋友们超话 什么是自杀式单身，有什么危害 唐果和他的朋友们超话糖先生的密室的专属圈子超话 “明明很想谈恋爱，却从不主动认识新朋友； 看到喜欢的人，只会默默观望，连上前搭话的勇气都没有； 手机里社交软件下载了又卸载，对话框永远停留在“你好”之后； 嘴上喊着“甜甜的恋爱什么时候轮到我” 展开c,0.3,0.2,0.1,0.3,0.4,negative,0.85,明明很想谈恋爱，却从不主动认识新朋友; 看到喜欢的人，只会默默观望，连上前搭话的勇气都没有; 手机里社交软件下载了又卸载，对话框永远停留在“你好”之后; 嘴上喊着‘甜甜的恋爱什么时候轮到我’,文本主要描述了一种在情感上的自我压抑和缺乏行动力的状态，虽然没有直接提到职场相关的内容，但通过‘不敢主动认识新朋友’、‘没有勇气搭话’等表达，可以推断出个体可能在职场中也存在类似的社交焦虑或身份认同问
18,c 广屿Ocean 11月08日 12:34 来自 读书超话 听一位互联网行业前辈讲了段人生故事 之前机缘巧合有机会和一位互联网行业的前辈进行了一次深度的聊天，对我的触动很大。本来以这位前辈的资历我是很难有机会和她单独进行沟通的（国内前4大厂的创始工号员工，某部门负责人，后来自己做了投资公司创业） 我想先分享这次机缘的由来，也许对大家也有启 展开c,0.2,0.3,0.1,0.2,0.2,neutral,0.85,对我的触动很大; 很难有机会和她单独进行沟通; 国内前4大厂的创始工号员工; 某部门负责人,文本主要描述了一次与互联网行业前辈的交流经历，内容偏向于分享和启发，没有直接表达焦虑情绪。但提到‘很难有机会和她单独进行沟通’可能暗示了对职业发展路径的不确定感（发展路径迷茫），以及对自身职场地位的思
19,c 小殷爱睡觉- 11月01日 01:34 来自 iPhone客户端 牛马篇EP08 今晚或者讲是此刻，感觉是入职以来前所未有的身心最放松的状态，即使还有篇双周报没开始写。很喜欢在一个阶段结束的时候整理相册，发发微博，当然这次也不例外。 是一段持续了很久的紧张状态且达到顶峰：每晚11甚至12点出公司，手头n个项目不同节点同时推进。即使是上周五休假在天津玩的 展开c,0.3,0.1,0.1,0.5,0.2,neutral,0.85,前所未有的身心最放松的状态; 持续了很久的紧张状态且达到顶峰; 每晚11甚至12点出公司; 手头n个项目不同节点同时推进,文本中提到‘前所未有的身心最放松的状态’，表明作者在经历长期高强度工作后感到释放，但同时也透露出‘持续了很久的紧张状态且达到顶峰’以及‘每晚11甚至12点出公司，手头n个项目不同节点同时推进’，这些表
20,c -礼卿- 10月28日 12:50 来自 一加 Ace 3 全能王牌 你好，我是礼卿，一名中高考数学老师，也是一位用数学思维做教育规划与个人成长的教练。 我的专业度受到过行业认可，我曾受大理一中青睐，与多位老师共创教学体系（有浙派名师、大学教授、机构校长、教辅编写者、其他一线教师等，具体形成见图3），形成“四步解题法” 对应试提分也有自己的体系，帮 展开c,0.1,0.1,0.1,0.1,0.1,neutral,0.9,中高考数学老师; 用数学思维做教育规划与个人成长的教练; 专业度受到过行业认可; 形成‘四步解题法’,该文本主要描述了礼卿的职业背景和专业成就，没有直接表达焦虑情绪。虽然提到其职业身份和教学体系，但未提及对发展路径、薪酬、内卷或身份认同的担忧。因此，四个维度的焦虑指数均较低，整体焦虑指数为0.1，情感
21,c 王盐Charles 10月28日 00:00 来自 微博网页版 艺术生怎么找互联网的工作？ 网友提问：我是考研二战考生，是一本类艺术生，编导专业。因为之前心态不好，两次都失败了。然后今年出来找工作，部门领导通过了，但是 HR 挂了我。 现在好沮丧，空档了一年 4 个月，就找工作这么费劲了吗？ 往届生什么时候应聘合适？现在入 MCN 机构靠谱吗？（MCN 现在 展开c,0.75,0.8,0.6,0.5,0.8,negative,0.9,艺术生怎么找互联网的工作？; 两次都失败了; 好沮丧; 空档了一年4个月; 找工作这么费劲了吗,文本中表现出强烈的焦虑情绪，主要集中在职业发展路径的迷茫（如‘艺术生怎么找互联网的工作？’、‘考研二战失败’）和身份认同危机（如‘空档一年四个月’、‘找工作这么费劲了吗’）。虽然没有直接提到薪酬问题，
22,c 广州笑爹 10月26日 18:56 来自 华为 Mate X5 典藏版 时间：19分钟前 深度思考 (DS-R1模型) 🚨 核心观点解读：企业家“豢养粉丝”的流量反噬危机 半月谈2025年10月26日刊文指出，当前部分企业将“人设营销+短视频”作为核心策略，却忽视深度内容输出，试图通过“饭圈逻辑”培养忠实信徒型消费者。这种模式本质上是异化用户关系： 风险根源：企业将消费 展开c,0.3,0.2,0.1,0.4,0.3,negative,0.85,流量反噬危机; 饭圈逻辑; 异化用户关系; 风险根源,文本主要聚焦于企业营销策略的潜在问题，提及‘流量反噬危机’和‘饭圈逻辑’等负面词汇，显示出对当前职场中过度依赖短期流量、忽视深度内容的担忧。虽然没有直接提到个人职业发展或薪酬问题，但‘异化用户关系’和
23,c 周舟洲_canoe 10月21日 20:52 你好，我是舟舟 这是我坚持日更的 348 天 昨天晚上刷视频的时候看到罗振宇晚上十点了还在直播，我就在想，人家那些成功的人之所以成功不是没有道理的。 就像牛马期待放假一样，打工人永远有假期和工作之分，且两者有深深的仇恨，所以爱说自己牛马。但替自己工作的人从来不会这么觉得，因为别人的工作 展开c,0.45,0.3,0.2,0.6,0.4,negative,0.85,牛马期待放假; 打工人永远有假期和工作之分; 深深的仇恨; 爱说自己牛马; 替自己工作的人从来不会这么觉得,文本中表达了对职场现状的不满，尤其是对‘打工人’身份的认同感较低，体现出一定的身份认同焦虑。同时提到‘牛马’与‘放假’的对比，暗示了工作压力大、竞争激烈，表现出职场内卷的焦虑。虽然提及罗振宇的例子，但
24,c 在画廊喝汽水的红豆 10月17日 11:44 来自 iPhone 15 Plus 接着裁员继续说。 对象被裁员以后面临的市场大环境非常不好。可以说非常多的花旗优秀人才在一起竞争，985/211/海外留学/年轻 这几个外界因素在一起时，优胜劣汰就已经注定了。 你有什么，你没有什么。一目了然，大家像韭菜一样任人宰割，不要再想着走互联网了，就连996/007面试的机会都没有，在这样 展开c,0.85,0.7,0.6,0.9,0.8,negative,0.92,市场大环境非常不好; 优胜劣汰就已经注定了; 像韭菜一样任人宰割; 996/007面试的机会都没有,文本中表现出强烈的职场焦虑情绪。'市场大环境非常不好'和'优胜劣汰就已经注定了'反映了对职业发展路径的迷茫（career_path_confusion）；'像韭菜一样任人宰割'和'996/007面试的
25,c 姜旭2025 10月16日 21:09 来自 微博声浪计划超话 #微博声浪计划# #听见微博# 【时间轴】 [00:00 - 05:00] 开场与茉莉自我介绍 我是茉莉，86年，前百度、阿里公关，21年离职带娃去英国读研 现在做自媒体“茉莉清醒记”，分享中年躺平与求职经历 第一次录播客，聊聊职场与生活中的真实选择 [05:00 - 15:00] 职场中的“40岁女性去哪儿了”？ 除了女领导， ...,0.3,0.4,0.2,0.3,0.3,neutral,0.85,职场中的‘40岁女性去哪儿了’？; 中年躺平与求职经历,文本内容主要围绕一位中年女性的职场经历展开，提及她从大公司离职、带娃、留学、做自媒体等经历。虽然没有直接表达强烈的焦虑情绪，但提到‘40岁女性去哪儿了’这一话题，暗示对职业发展路径的思考和不确定性，体
26,c 买酱安利日记 10月11日 13:05 来自 微博网页版 女生从头美到脚的100种方法 身材体态 1.瘦腿--网上有很多跟练视频可以一起做哦。 2.改善驼背--把你的乃头当作枪正在扫射前面的敌人，你只要一弯腰就打到脚了。(在另一个博主那看到的，别说!还挺有用)。 3.改善脖子前倾--每天靠墙站15分钟。后脑勺粘墙，收下巴，肩胛骨贴墙，两肩同高，墙壁和腰隔半个 展开c,0.0,0.0,0.0,0.0,0.0,neutral,0.95,女生从头美到脚的100种方法; 改善驼背; 每天靠墙站15分钟,该文本主要是一篇关于个人形象管理的分享，内容聚焦于外在形象提升的方法，如瘦腿、改善体态等。文中没有提及与职业发展、薪酬待遇、职场竞争或身份认同相关的具体焦虑点。因此，四个维度的焦虑指数均为0。整体情感
27,c 苦苦的甜甜圈org 10月10日 20:29 来自 微博兴趣创作计划超话 建议找工作千万别有不配得感，想起我第一次找工作时的“怂样”，现在都想拍自己两下😫！看到心仪公司的岗位，明明 JD 里 80%的要求我都符合，却盯着那“3年相关经验”的条款反复纠结：“我才刚毕业，肯定选不上”；收到面试邀请，又紧张得整夜睡不着，总觉得“他们是不是发错了，我根本不配”。结果 展开c,0.65,0.4,0.2,0.7,0.8,negative,0.85,苦苦的甜甜圈; 怂样; 不配得感; 3年相关经验; 整夜睡不着; 我根本不配,文本中表现出强烈的自我怀疑和身份认同焦虑，如‘我根本不配’、‘3年相关经验’等短语显示了对自身能力的不自信。同时，‘整夜睡不着’表明工作压力大，存在职场内卷的焦虑。虽然没有直接提到薪酬问题，但整体情绪
28,c 心理数学 10月09日 14:36 来自 微博网页版 另外一些工作感想。很多人还是有那种奴隶心态，觉得公司给我这么优厚的福利，我就应该卖命，实际上那是你应得的呀，领导也这么觉得，觉得有这么好的福利在，你肯定不敢离职的，于是就在别的地方处处恶心你，在细枝末节处大发官威，称我是团队的leader我要对团队所有的内容负责，实际上根本不清楚目前的 展开c,0.75,0.4,0.3,0.8,0.7,negative,0.85,奴隶心态; 不敢离职; 处处恶心你; 细枝末节处大发官威; 对团队所有的内容负责,文本中表达了强烈的职场不满情绪，尤其是对领导的控制和压迫感到焦虑。'奴隶心态'和'不敢离职'反映出身份认同危机和对工作环境的不信任；'处处恶心你'和'细枝末节处大发官威'表明了职场内卷和高压竞争的氛围
29,c 粥悦悦 10月02日 16:10 转赞人数超过90 来自 微博网页版 昨天和本地十年的云蜜去看三文鱼、徒步、拍照。 最大的收获不是风景，而是听她讲述，从“哑巴英语”到能流利沟通，用英语横扫职场的经历。 她说，她懂那种开不了口的自卑，懂那种怂得画地为牢的窘迫，也懂那种硬着头皮、死皮赖脸开口后带来的意外惊喜。 我也特别渴望，有一天能用英语跟老外侃大山， 展开c,0.2,0.3,0.1,0.2,0.2,positive,0.85,哑巴英语; 开不了口的自卑; 硬着头皮、死皮赖脸开口; 渴望用英语跟老外侃大山,文本主要描述了一个人通过努力提升英语能力并获得职场成功的故事，整体情绪积极向上。虽然提到‘哑巴英语’和‘开不了口的自卑’等表达，但这些更多是作为过去经历的反思，并非当前焦虑的表现。因此，发展路径迷茫（
30,c 芭比啦biu啵丢喽喽 10月01日 23:12 践行“理想主义”是需要切实付出代价的——不是因为你信奉一种好的东西 你就是对的 这个世界就应该为你让路 这是一种不负责任的巨婴心态 互联网上职场博主赛道“我是一个理想主义者我错了吗”的内容多如牛毛 我想说：是的，错了。如果你有这个心 那说明你要做的事就是比其他人要多一个流程环节 所以你 展开c,0.65,0.7,0.3,0.6,0.6,negative,0.85,践行‘理想主义’是需要切实付出代价的; 不是因为你信奉一种好的东西你就是对的; 这是一种不负责任的巨婴心态; 互联网上职场博主赛道‘我是一个理想主义者我错了吗’的内容多如牛毛; 是的，错了,文本表达了对理想主义在职场中不被认可的失望和焦虑，暗示了职业发展中的迷茫（如‘要做的事比其他人多一个流程环节’），以及对自身角色和身份的不确定（如‘你就是对的’与‘巨婴心态’的对比）。虽然没有直接提到
31,c 绫濑不遥_ 09月26日 15:00 转赞人数超过30 来自 iPhone 16 早晨听一个大哥讲职场经历，让我想到，很多人没理解到，践行“英雄主义”或者说“理想主义”是需要切实付出代价/努力的——不是因为你信奉一种好的东西，你就是对的，这个世界就应该为你让路，这是一种不负责任的巨婴心态。（实际上，占领道德高地+受害者自塑是一种上一代很喜欢用的黑魔法，相当于把一 展开c,0.6,0.4,0.3,0.7,0.5,negative,0.85,践行‘英雄主义’或者说‘理想主义’是需要切实付出代价/努力的; 不是因为你信奉一种好的东西，你就是对的; 占领道德高地+受害者自塑是一种上一代很喜欢用的黑魔法,文本中提到职场中的理想主义需要付出代价，暗示了现实与理想的落差，体现出对职业发展路径的一定迷茫（0.4）。虽然没有直接提及薪酬问题，但隐含了对现实的不满（0.3）。文中提到“黑魔法”和“巨婴心态”，反
32,c 南方嘎啊 09月23日 23:22 来自 HUAWEI Mate 60 Pro 2025-09-23[连续第3548天] 《用户价值》 在一款产品中，用户需要四大价值，这让我想到了我从零开始接触营销一直走到现在的过程。起初只是通过看书或者视频来了解什么是营销，这个就是认知价值，知道有这回事，也感觉自己听懂的。 后来来公司上班，从助理做起，开始有系统有体系的了解什么是营销，同 展开c,0.2,0.3,0.1,0.2,0.2,neutral,0.85,从零开始接触营销; 系统有体系的了解什么是营销; 感觉自己听懂的,文本主要描述了用户从零开始学习营销的过程，提到通过看书、视频和工作实践逐步理解营销。整体情绪较为中性，没有明显表达对职业发展、薪酬、内卷或身份认同的强烈焦虑。但提到‘从零开始’和‘系统有体系’可能暗示
33,c 外贸女浪子 09月19日 17:17 来自 OPPO A55s 5G 中年失业，一个人又做起了月入三万的工作 没想到，失业后的收入是打工的好几倍。做点铺这几年，我的收入从几千到如今的大几万，虽然不是什么值得炫耀的事情但对我而言却是可以让我提前躺平的最佳路径。 我是从20年开始接触外贸行业的，当时从南方辞职回来准备和朋友做点小生意可是屡屡碰壁，偶然一次 展开c,0.2,0.1,0.3,0.1,0.2,positive,0.85,中年失业; 收入是打工的好几倍; 提前躺平,文本整体情绪偏向积极，作者分享了自己从失业到收入提升的经历，表现出对现状的满意。然而，提到‘中年失业’和‘收入是打工的好几倍’暗示了对职业路径的不确定性（发展路径迷茫）以及对薪酬落差的潜在关注（薪酬落
34,c 王盐Charles 09月15日 22:30 来自 微博网页版 提问：王盐老师好，有个工作上的问题想请教您一下：我是应届生，在互联网实习。 前几天领导问我的找工作情况，说我在实习生中还可以，她也是面试官，让我去官网投下简历。但是第二天我在工作上不细心有问题，领导说了比较重的话，状态在她那不过关，当天我又解决了一个小问题，可能印象会好转一点。 展开c,0.45,0.3,0.1,0.6,0.5,negative,0.85,领导说了比较重的话; 状态在她那不过关; 可能印象会好转一点,文本中表现出明显的职场焦虑，尤其是在工作表现和身份认同方面。该应届生对自身表现的不确定性（如‘状态在她那不过关’）以及对领导评价的敏感性（如‘领导说了比较重的话’）显示出较高的职场内卷和身份认同焦虑。
35,c 影视禾木兄 09月14日 09:17 来自 职场超话 #禾木觉悟##禾你发声# 于东来说得对，中国的企业离成熟都很远，不要整天都在奋斗，生命质量很低，深有同感。 今天是周末，我也在休息，但其实还夹带一些工作，因为客户也在等、在急，你不得不启动本来打算休息的大脑。 想起社会高增长的那段时期，因为机会多，老板不怕你犯错，敢让你试、放手让你干 展开c,0.5,0.3,0.2,0.7,0.4,negative,0.85,中国的企业离成熟都很远; 生命质量很低; 夹带一些工作; 不得不启动本来打算休息的大脑; 老板不怕你犯错,文本中表达了对职场环境的不满和压力，尤其是提到‘中国的企业离成熟都很远’和‘生命质量很低’，显示出对职业发展和工作生活平衡的焦虑。同时，‘夹带一些工作’和‘不得不启动本来打算休息的大脑’表明了工作压力
36,c Mwgdwb 09月09日 08:04 来自 微博视频号 华人高管还是应该遵守忠诚边界，义子当先，给国人争气 LMwgdwb的微博视频 播放视频,0.1,0.1,0.1,0.2,0.1,neutral,0.75,华人高管还是应该遵守忠诚边界; 义子当先，给国人争气,文本内容主要表达对华人高管应遵守忠诚边界、维护国家形象的呼吁，整体情绪偏向中性。虽然提及‘义子当先’可能暗示某种责任或压力，但并未直接体现职业发展迷茫、薪酬落差、职场内卷或身份认同的焦虑。因此，四个维
