用户,时间,内容
广州笑爹,10月26日 18:56  来自 华为 Mate X5 典藏版,"c
广州笑爹
10月26日 18:56  来自 华为 Mate X5 典藏版
时间：19分钟前
深度思考 (DS-R1模型)

🚨 核心观点解读：企业家“豢养粉丝”的流量反噬危机
半月谈2025年10月26日刊文指出，当前部分企业将“人设营销+短视频”作为核心策略，却忽视深度内容输出，试图通过“饭圈逻辑”培养忠实信徒型消费者。这种模式本质上是异化用户关系：

风险根源：企业将消费 展开c"
周舟洲_canoe,10月21日 20:52,"c
周舟洲_canoe
10月21日 20:52
你好，我是舟舟
这是我坚持日更的 348 天

昨天晚上刷视频的时候看到罗振宇晚上十点了还在直播，我就在想，人家那些成功的人之所以成功不是没有道理的。
就像牛马期待放假一样，打工人永远有假期和工作之分，且两者有深深的仇恨，所以爱说自己牛马。但替自己工作的人从来不会这么觉得，因为别人的工作 展开c"
在画廊喝汽水的红豆,10月17日 11:44  来自 iPhone 15 Plus,"c
在画廊喝汽水的红豆
10月17日 11:44  来自 iPhone 15 Plus
接着裁员继续说。

对象被裁员以后面临的市场大环境非常不好。可以说非常多的花旗优秀人才在一起竞争，985/211/海外留学/年轻 这几个外界因素在一起时，优胜劣汰就已经注定了。

你有什么，你没有什么。一目了然，大家像韭菜一样任人宰割，不要再想着走互联网了，就连996/007面试的机会都没有，在这样 展开c"
姜旭2025,10月16日 21:09  来自 微博声浪计划超话,"c
姜旭2025
10月16日 21:09  来自 微博声浪计划超话
#微博声浪计划# #听见微博# 【时间轴】
[00:00 - 05:00] 开场与茉莉自我介绍
我是茉莉，86年，前百度、阿里公关，21年离职带娃去英国读研
现在做自媒体“茉莉清醒记”，分享中年躺平与求职经历
第一次录播客，聊聊职场与生活中的真实选择
[05:00 - 15:00] 职场中的“40岁女性去哪儿了”？
除了女领导， 展开c














































播放视频"
买酱安利日记,10月11日 13:05  来自 微博网页版,"c
买酱安利日记
10月11日 13:05  来自 微博网页版
女生从头美到脚的100种方法

身材体态
1.瘦腿--网上有很多跟练视频可以一起做哦。
2.改善驼背--把你的乃头当作枪正在扫射前面的敌人，你只要一弯腰就打到脚了。(在另一个博主那看到的，别说!还挺有用)。
3.改善脖子前倾--每天靠墙站15分钟。后脑勺粘墙，收下巴，肩胛骨贴墙，两肩同高，墙壁和腰隔半个 展开c"
苦苦的甜甜圈org,10月10日 20:29  来自 微博兴趣创作计划超话,"c
苦苦的甜甜圈org
10月10日 20:29  来自 微博兴趣创作计划超话
建议找工作千万别有不配得感，想起我第一次找工作时的“怂样”，现在都想拍自己两下😫！看到心仪公司的岗位，明明 JD 里 80%的要求我都符合，却盯着那“3年相关经验”的条款反复纠结：“我才刚毕业，肯定选不上”；收到面试邀请，又紧张得整夜睡不着，总觉得“他们是不是发错了，我根本不配”。结果 展开c"
心理数学,10月09日 14:36  来自 微博网页版,"c
心理数学
10月09日 14:36  来自 微博网页版
另外一些工作感想。很多人还是有那种奴隶心态，觉得公司给我这么优厚的福利，我就应该卖命，实际上那是你应得的呀，领导也这么觉得，觉得有这么好的福利在，你肯定不敢离职的，于是就在别的地方处处恶心你，在细枝末节处大发官威，称我是团队的leader我要对团队所有的内容负责，实际上根本不清楚目前的 展开c"
粥悦悦,10月02日 16:10 转赞人数超过90  来自 微博网页版,"c
粥悦悦
10月02日 16:10 转赞人数超过90  来自 微博网页版
昨天和本地十年的云蜜去看三文鱼、徒步、拍照。

最大的收获不是风景，而是听她讲述，从“哑巴英语”到能流利沟通，用英语横扫职场的经历。

她说，她懂那种开不了口的自卑，懂那种怂得画地为牢的窘迫，也懂那种硬着头皮、死皮赖脸开口后带来的意外惊喜。

我也特别渴望，有一天能用英语跟老外侃大山， 展开c"
芭比啦biu啵丢喽喽,10月01日 23:12,"c
芭比啦biu啵丢喽喽
10月01日 23:12
践行“理想主义”是需要切实付出代价的——不是因为你信奉一种好的东西 你就是对的 这个世界就应该为你让路 这是一种不负责任的巨婴心态
互联网上职场博主赛道“我是一个理想主义者我错了吗”的内容多如牛毛 我想说：是的，错了。如果你有这个心 那说明你要做的事就是比其他人要多一个流程环节 所以你 展开c"
绫濑不遥_,09月26日 15:00 转赞人数超过30  来自 iPhone 16,"c
绫濑不遥_
09月26日 15:00 转赞人数超过30  来自 iPhone 16
早晨听一个大哥讲职场经历，让我想到，很多人没理解到，践行“英雄主义”或者说“理想主义”是需要切实付出代价/努力的——不是因为你信奉一种好的东西，你就是对的，这个世界就应该为你让路，这是一种不负责任的巨婴心态。（实际上，占领道德高地+受害者自塑是一种上一代很喜欢用的黑魔法，相当于把一 展开c"
南方嘎啊,09月23日 23:22  来自 HUAWEI Mate 60 Pro,"c
南方嘎啊
09月23日 23:22  来自 HUAWEI Mate 60 Pro
2025-09-23[连续第3548天]
《用户价值》

在一款产品中，用户需要四大价值，这让我想到了我从零开始接触营销一直走到现在的过程。起初只是通过看书或者视频来了解什么是营销，这个就是认知价值，知道有这回事，也感觉自己听懂的。

后来来公司上班，从助理做起，开始有系统有体系的了解什么是营销，同 展开c"
外贸女浪子,09月19日 17:17  来自 OPPO A55s 5G,"c
外贸女浪子
09月19日 17:17  来自 OPPO A55s 5G
中年失业，一个人又做起了月入三万的工作
没想到，失业后的收入是打工的好几倍。做点铺这几年，我的收入从几千到如今的大几万，虽然不是什么值得炫耀的事情但对我而言却是可以让我提前躺平的最佳路径。

我是从20年开始接触外贸行业的，当时从南方辞职回来准备和朋友做点小生意可是屡屡碰壁，偶然一次 展开c"
王盐Charles,09月15日 22:30  来自 微博网页版,"c
王盐Charles
09月15日 22:30  来自 微博网页版
提问：王盐老师好，有个工作上的问题想请教您一下：我是应届生，在互联网实习。

前几天领导问我的找工作情况，说我在实习生中还可以，她也是面试官，让我去官网投下简历。但是第二天我在工作上不细心有问题，领导说了比较重的话，状态在她那不过关，当天我又解决了一个小问题，可能印象会好转一点。

展开c"
影视禾木兄,09月14日 09:17  来自 职场超话,"c
影视禾木兄
09月14日 09:17  来自 职场超话
#禾木觉悟##禾你发声# 于东来说得对，中国的企业离成熟都很远，不要整天都在奋斗，生命质量很低，深有同感。

今天是周末，我也在休息，但其实还夹带一些工作，因为客户也在等、在急，你不得不启动本来打算休息的大脑。

想起社会高增长的那段时期，因为机会多，老板不怕你犯错，敢让你试、放手让你干 展开c"
Mwgdwb,09月09日 08:04  来自 微博视频号,"c
Mwgdwb
09月09日 08:04  来自 微博视频号
华人高管还是应该遵守忠诚边界，义子当先，给国人争气 LMwgdwb的微博视频
播放视频"
Sophia婧a,09月06日 16:15  来自 微博视频号,"c
Sophia婧a
09月06日 16:15  来自 微博视频号
#全民精神文明时代# ， 我人生的道路非常的简单，实际上就是渐渐长大，学习，工作，每天2.1线，但我又天生自由，又有点小反骨，不太喜欢职场的环境，于是乎，我在互联网各大平台有自己的账号，成为了一名自由职业者。然而，在这样的过程当中，2023年11月7号，我忽然想出来看看这个世界，于是带着包走 展开c




播放视频"
囤货手册,09月05日 07:06  来自 微博网页版,"c
囤货手册
09月05日 07:06  来自 微博网页版
38条对女生有利的想法

1、凡事两句话
关你屁事，关我屁事。这两句话能为你减少人生80%的烦恼。

2、不要害怕花钱
钱不是省出来的，该花的时候还是要花。花不等于有罪，很多时候买好点，可以用更久，比起便宜的，其实更划算。

3、不做他人的情绪垃圾桶
我的老师曾说过:“情绪价值是可以当现金用的!” 展开c"
小圆吃瓜,08月31日 14:31,"c
小圆吃瓜
08月31日 14:31
感觉我已经学会了自洽，互联网给我带来的全都是答题技巧

领导说他很年轻的时候就出来养家了，又有胆识又能吃苦，和我们这代懒人不一样，我倾听许久，给了他一个reaction：“主要是你的原生家庭太差。”
他的沉默，我一直回味到了周日。这一周，我把自己的乳腺养得很好。

昨天逛商场，有个销 展开c"
梦缘亭思,08月21日 06:32  来自 微博视频号,"c
梦缘亭思
08月21日 06:32  来自 微博视频号
（社会）实力带来底气
文/蓝天（梦缘亭思）
大家好，我是笔者蓝天。今天我想和大家深入探讨一个话题，那就是“实力带来底气”。在我们生活的这个世界里，实力就像是一把万能钥匙，它能为我们打开一扇扇通往成功与自信的大门。
       先让我们来看看什么是实力。实力不仅仅 展开c






















播放视频"
Miss汉谟拉比,08月19日 12:13 转赞人数超过100  来自 Xiaomi 13 Ultra,"c
Miss汉谟拉比
08月19日 12:13 转赞人数超过100  来自 Xiaomi 13 Ultra
你拥有的东西，
最终会左右你。
所以要精心选择。
——《宝贵的人生建议》

我觉得这句话是很有道理的，比如我经常说，不要以为啊是你在写作，你的文字也在塑造着你。比如你只会发别人的东西，你只会写情绪的东西，你的思维就会停留在容易的流量还有情绪里，长此以往，大脑会习惯“即时满足”与情绪宣 展开c"
糖先生的密室,08月16日 18:34  来自 唐果和他的朋友们超话,"c
糖先生的密室
08月16日 18:34  来自 唐果和他的朋友们超话
不敢开口去争取自己的重大利益，根本原因在哪里

糖先生的密室的专属圈子超话唐果和他的朋友们超话

先讲个故事。

去年7月，朋友小李工作的互联网大厂做年度调薪。

小李因为去年连续拿下三个核心项目，绩效是A+，但公司邮件里只给他涨了8%。

同部门的小张绩效是B，却因为会哭的孩子有奶吃 展开c"
扑向大海的小黑猫,08月15日 23:31  来自 Skp饲养员iPhone客户端,"c
扑向大海的小黑猫
08月15日 23:31  来自 Skp饲养员iPhone客户端
入职两个月，我觉得自己像是被丢进了一个全新的世界。

第一次进这么正规的公司，福利待遇都不错，流程清晰。第一次碰到这么正常的同事和领导。第一次发现，原来身边的人可以优秀到这种程度。

破冰活动聊到 fun fact check，同事们一个比一个精彩：
有人集齐了国内Top5互联网公司的 offer，有人从大厂 展开c"
汤六爷,08月12日 13:31  来自 微博视频号,"c
汤六爷
08月12日 13:31  来自 微博视频号
上班是让他玩明白了，真的笑惨了！

#不上班后才看清的真实现状# L汤六爷的微博视频
播放视频"
博学视界,08月11日 22:31  来自 微博视频号,"c
博学视界
08月11日 22:31  来自 微博视频号
#刘晓光Savvy直播# @刘晓光Savvy 分析试用期成败原因，强调自信与客观心态，指出职场成长关键在于开放思维和有效指导。 L博学视界的微博视频
播放视频"
姬永锋,08月11日 10:15,"c
姬永锋
08月11日 10:15
在环京楼市里赔掉十年的年轻人（下）

摘自每人作者 每日人物

困在环京楼市里

我2009年毕业，留在北京工作，因为在老家县城很少能找到合适的岗位，我是北方人，也没想过去其他城市，能留在北京安家最好了。

天津其实并不是我最早买下的环京房，2013年，我在大厂回族自治县买了一套，房价和税加在一 展开c"
王盐Charles,08月02日 18:30  来自 微博网页版,"c
王盐Charles
08月02日 18:30  来自 微博网页版
没经验怎么做部门负责人？

网友提问：我原本是在互联网行业的市场营销岗，对于纯线上的营销推广较熟悉，现在跳槽到餐饮行业的市场营销岗，比起以前，需要结合门店来运作一些营销活动了，面对的用户群体也完全不一样。

并且我是作为部门负责人负责这项业务， 现在的心态十分得害怕和不稳定，因为自己 展开c"
尺寸草莓味大号超薄,07月30日 20:14 转赞人数超过100  来自 iPhone 16 Pro Max,"c
尺寸草莓味大号超薄
07月30日 20:14 转赞人数超过100  来自 iPhone 16 Pro Max
我现在已经不太喜欢去处理那些疯狂谩骂我的人了，我刚做博主的那会处理过，造黄谣的，爆我地址的，男生女生都有，结果皮下就是未成年，还在上学呢，还是留守儿童，家里老人带的那种，你说我处理吧没有那个必要，不处理吧又叽叽喳喳的，都一帮小屁孩，我搞那么认真显得我很小气。

如果是成年人工作者闲 展开c"
辉煌_爱,07月28日 08:54  来自 微博网页版,"c
辉煌_爱
07月28日 08:54  来自 微博网页版
2025年运动打卡第117天。中年最重要的是认知和心态的提升，加强学习，加强历练，极致自我。保持好心态，接受并创造价值。
今日听书摘记：
是不是系关注了过多的繁杂的信息？是不是从信息当中没有甄选，然后是不是不懂得跟陌生人连接，而是整天混在熟人圈子里头啊？所以在我看来，您这本书最重要的使命 展开c"
SodaBella,07月27日 17:42  来自 微博音频,"c
SodaBella
07月27日 17:42  来自 微博音频
#用音频给生活转个场# #晚安音频电台# 本期编辑：@SodaBella @朝与黎
本期主播：@刘不绝
@SodaBella
本期脑图：
本期概述：
本期我们反思“过来人”身份，强调不应指责他人，而应以平等和理解的态度面对问题。讨论覆盖了教育、家庭、个人成长，提醒提出建议时需考虑社会多元性和个体差异。此外，探讨了 展开c


















































































播放视频"
方糖的津味儿生活,07月23日 19:38  来自 HUAWEI Mate 40 Pro,"c
方糖的津味儿生活
07月23日 19:38  来自 HUAWEI Mate 40 Pro
🎊新老朋友，你们好

我是方糖，一名7年外企职场人，也是一个3岁男宝的妈妈。

👂🏻我的经历：

1️⃣曾经的小镇做题家，高考失利，后从普通二本逆袭考入双一流985高校研究生，期间发表学术论文6篇，2篇SCI，一篇TOP，并获得大连市优秀毕业生的荣誉。

2️⃣我是一名农村孩子，从小被穷人的劣根 展开c"
奇闻趣事大喇叭,07月10日 12:23  来自 微博视频号,"c
奇闻趣事大喇叭
07月10日 12:23  来自 微博视频号
王继业脱口秀演绎“打工皇帝”传奇，单口喜剧引爆现场 #蔡康永# #喜剧之王单口季# L奇闻趣事大喇叭的微博视频
播放视频"
陈_陈_96,07月05日 02:17  来自 iPhone客户端,"c
陈_陈_96
07月05日 02:17  来自 iPhone客户端
EP1：
今天听了一期杨天真的播客，最近的心态和情绪起伏好似得到了一些莫名的慰藉和救赎，虽然自己也没有完全理明白，但好像在荒草横纵的迷林中找到了一道小小出口，攥住了一丝厘清现状的希望。
文字和阅读给人带来的影响力和改变力确实比人想象中的要大，速食主义的时代超过三行的文字 展开c"
谭恋爱同学,07月04日 21:06 转赞人数超过30  来自 iPhone 16,"c
谭恋爱同学
07月04日 21:06 转赞人数超过30  来自 iPhone 16
我和我的心理咨询师讨论了即将可能要结束的互联网大厂的工作，还有我自己的事业。
记录和心理咨询师的对话，能够让我觉察自己的内在。

咨询师：小谭，你在描述的是，你即将开启一些你觉得还是有很有希望的工作的一种模式。但是因为失去了一个稳定的支撑，就像你说的，有一份工资，有一个很能够支撑你 展开c"
复旦大学,06月29日 13:50  来自 复旦大学超话,"c
复旦大学
06月29日 13:50  来自 复旦大学超话
#旦·生活##宝藏大学安利计划#复旦大学超话
从文史哲课堂走向互联网职场，复旦毕业生们用经历证明：专业从来不是职业发展的枷锁！
一起来听听三位学长的经验之谈吧🙌

视频｜李玲 L复旦大学的微博视频
播放视频"
油菜幸福版,06月28日 20:59  来自 iPhone 16 Pro,"c
油菜幸福版
06月28日 20:59  来自 iPhone 16 Pro
为什么看着路过的酒管就突然进来点上了一杯呢

我在想原因 不是因为悲伤也不是开心 心情沉沉的也但没有平常面对酒的害怕和抵触

大概是我也在感叹我的成长吧 开心我在这种没背景没钱没人脉没学习的乡村长大，没有被长歪，没有被带坏，还长到了现在清醒又努力的样子三观也在成长蜕变 真的很为我开心
惊 展开c"
赵刚Andrew,06月23日 15:17  来自 微博网页版,"c
赵刚Andrew
06月23日 15:17  来自 微博网页版
#留学申请季##留学帮帮忙##高考加油##全民高考应援##出国留学# 留学最好的时候已经过去了？

国际教育知名媒体人 赵刚

2016年、2017年我先后撰写出版了《到英国去》《留学的逻辑》两本书，在国内留学圈产生了一些反响，这些书曾作为一些留学中介、国际教育机构的培训资料。当时我还在担任英国大学 展开c"
有钱幸福漂亮蛙,06月10日 23:16  来自 iPhone客户端,"c
有钱幸福漂亮蛙
06月10日 23:16  来自 iPhone客户端
前天刷到一个职场宝妈分享日常妆容穿搭的视频，弹幕上就有说“这是夜场妈咪吧”“以为在商k上班”，她只是化了妆，穿着并没有暴露，行为语言没有擦边，就会被这么说。
昨晚看关注的一个博主直播，弹幕里一直有一个黑子，骂他装货啥啥的，在他提及近期的状态，说到他妈妈前阵子去世这个事情时，弹幕里的 展开c"
皮皮推,06月10日 22:55 转赞人数超过100,"c
皮皮推
06月10日 22:55 转赞人数超过100
#余承东晒AI视频庆祝入职华为32周年#工作这么多年，我待过最长时间的，就是上一家单位，我是从2017年入职的，2023年正式离职，在那里待了整整6年时间，除了老板待了10年以上，其它人最多就比我多1-2年。

能在一家公司待5-6年，其实是迫不得已，毕竟那时候已经30岁左右了，上有老下有小，还有房贷要还 展开c"
思维螺旋,06月10日 20:27 转赞人数超过200,"c
思维螺旋
06月10日 20:27 转赞人数超过200
有两个思维是不对的：第一个是成功的时候就“成功都是因为我牛逼”，第二个领罚的时候就说“为什么单罚我，别人也很差”。

我先说第一点。有的网友说，网红吃青春饭，成功了靠自己青春美貌。

这没有错。但是除了她自己青春美貌，她也靠移动互联网。

这个基础设施，是国家打下的，不是任何互联网公司 展开c"
三十出头张小莫,06月09日 01:25  来自 iPhone客户端,"c
三十出头张小莫
06月09日 01:25  来自 iPhone客户端
【颜值】确实是阶级攀升的【隐形门槛】

周末健身的时候正好听到计算机科学家，前腾讯总裁吴军博士的分享，他讲到说如果你作为一个非常上进，要去读NBA进修的“精英”要注意的要点

其中说到MBA面试时，表面不承认但私底下又心照不宣的标准，让我有点意外

1，为什么MBA面试一定要打扮的漂亮帅气

他说 展开c"
张匀飞_Fay,06月04日 15:27  来自 nova12系列出色蓝不住,"c
张匀飞_Fay
06月04日 15:27  来自 nova12系列出色蓝不住
🪪ESTJ，一个拒绝消费主义、追求自我实现、事业心很重、上进心很强的女的，信奉99%的问题归根结底是经济问题，211本硕。

Hi 朋友们，我是张匀飞，感谢互联网让我们相遇。

在这个帖子里我简单介绍一下自己。

正如开头所说，我是一个学不会松弛的人。我渴望成就，包括健康、心态、事业、财富等不同 展开c






































张匀飞_Fay 的微博
焦虑的本质是透支过去的影响力+预支未来的恐惧+忽略当下的力量。 无论什么人，无论怎样的焦虑，它的形成方式无非就是纠结于过去某件事对自身的影响，并且通过对未来各种风险、困难的想象吓唬自己，唯独无视当下能做的事情。 这是焦虑的形成途径，也是焦虑的本质，即把重点放在了决定不了的事情上。"
箐南,05月22日 11:40 转赞人数超过6900  来自 微博视频号,"c
箐南
05月22日 11:40 转赞人数超过6900  来自 微博视频号
#家政阿姨说旷野上全是牛马#

没想到家政阿姨们说起互 联 网 hei 话，比大厂员工还要6！全 域 运 营、闭 环 管 理、颗 粒 度……张口就来！打工人说自己是牛马，想活出旷野人生，但家政阿姨说旷野上全是牛马。还有那句“干 得 太 慢 被 嫌 弃 效率低，干得太快被质疑性价比”简直说出打工人的心声 展开c


播放视频"
