城市_清洗,行业,薪资_月平均K,经验要求,学历要求
上海,餐饮,8.5,经验不限,初中及以下
上海,运动/健身,19.5,经验不限,学历不限
上海,互联网金融,18.0,经验不限,学历不限
上海,社交网络与媒体,38.0,经验不限,学历不限
上海,餐饮,7.5,1-3年,学历不限
上海,房地产中介/租赁,10.5,经验不限,学历不限
上海,食品/饮料/烟酒,5.5,1-3年,高中
上海,美容,10.5,1-3年,学历不限
上海,食品/饮料/烟酒,5.5,经验不限,学历不限
上海,文化艺术/娱乐,30.0,经验不限,学历不限
上海,餐饮,9.0,5-10年,学历不限
上海,互联网,14.5,经验不限,学历不限
上海,电子商务,7.5,1年以内,高中
上海,餐饮,5.5,1年以内,学历不限
上海,即时配送,,经验不限,学历不限
上海,其他制造业,7.5,经验不限,学历不限
上海,休闲/娱乐,22.5,经验不限,学历不限
上海,计算机软件,11.5,经验不限,学历不限
上海,保健/养生,7.0,经验不限,学历不限
上海,广播/影视,6.6,经验不限,学历不限
上海,智能硬件/消费电子,9.9,经验不限,学历不限
上海,新能源汽车,10.0,经验不限,学历不限
上海,培训/辅导机构,30.0,经验不限,学历不限
上海,文化艺术/娱乐,45.0,经验不限,学历不限
上海,餐饮,6.5,经验不限,学历不限
上海,保健/养生,40.0,经验不限,学历不限
上海,汽车后市场,18.0,3-5年,学历不限
上海,美容/美发,82.5,3-5年,高中
上海,新能源汽车,13.0,经验不限,学历不限
上海,批发/零售,7.5,1年以内,学历不限
上海,餐饮,7.0,经验不限,学历不限
上海,企业服务,16.5,经验不限,学历不限
上海,餐饮,6.5,经验不限,学历不限
上海,电子商务,10.5,经验不限,学历不限
上海,服装/纺织,10.0,1-3年,学历不限
上海,互联网,22.5,经验不限,学历不限
上海,同城货运,9.5,经验不限,学历不限
上海,美容/美发,12.5,1-3年,初中及以下
上海,休闲/娱乐,30.0,经验不限,学历不限
上海,投资/融资,10.5,1-3年,高中
上海,保健/养生,12.5,经验不限,学历不限
上海,互联网,22.5,1-3年,学历不限
上海,客运服务,12.5,经验不限,学历不限
上海,生活服务(O2O),0.96,经验不限,学历不限
上海,房地产中介/租赁,26.5,1-3年,高中
上海,服装/纺织,7.5,1-3年,学历不限
上海,其他生活服务,17.5,经验不限,学历不限
上海,美容,12.5,经验不限,学历不限
上海,广告营销,27.5,1-3年,学历不限
上海,互联网,20.0,经验不限,学历不限
上海,餐饮,3.96,1年以内,学历不限
上海,计算机软件,7.0,经验不限,学历不限
上海,文化艺术/娱乐,10.5,经验不限,学历不限
上海,其他生活服务,10.5,经验不限,学历不限
上海,休闲/娱乐,22.5,3-5年,学历不限
上海,休闲/娱乐,5.5,经验不限,学历不限
上海,互联网,,经验不限,学历不限
上海,文化艺术/娱乐,11.5,经验不限,高中
上海,医疗健康,15.5,经验不限,学历不限
上海,文化艺术/娱乐,11.5,经验不限,学历不限
上海,互联网,,经验不限,学历不限
上海,互联网金融,12.0,经验不限,学历不限
上海,广播/影视,,1-3年,学历不限
上海,美容/美发,10.5,经验不限,学历不限
上海,游戏,17.5,3-5年,学历不限
上海,文化艺术/娱乐,8.0,经验不限,学历不限
上海,社交网络与媒体,5.5,经验不限,学历不限
上海,新能源汽车,11.5,经验不限,学历不限
上海,家政服务,7.0,经验不限,学历不限
上海,休闲/娱乐,22.5,经验不限,学历不限
上海,餐饮,5.5,经验不限,学历不限
上海,其他生活服务,8.5,经验不限,学历不限
上海,互联网金融,12.5,经验不限,学历不限
上海,餐饮,8.5,经验不限,学历不限
上海,餐饮,7.5,经验不限,学历不限
上海,广播/影视,8.0,经验不限,学历不限
上海,服装/纺织,8.5,1-3年,学历不限
上海,广播/影视,8.0,经验不限,学历不限
上海,餐饮,4.5,1-3年,学历不限
上海,游戏,32.5,3-5年,学历不限
上海,批发/零售,8.0,经验不限,高中
上海,其他生活服务,30.0,1-3年,学历不限
上海,半导体/芯片,105.0,5-10年,学历不限
上海,餐饮,7.5,经验不限,学历不限
上海,新能源汽车,13.5,经验不限,学历不限
上海,医疗服务,22.5,1-3年,学历不限
上海,其他专业服务,12.5,1-3年,学历不限
上海,保健/养生,12.5,1-3年,学历不限
上海,快递,10.5,1-3年,学历不限
上海,保健/养生,10.5,经验不限,学历不限
上海,人力资源服务,5.5,经验不限,学历不限
上海,餐饮,5.5,经验不限,学历不限
上海,餐饮,5.5,经验不限,学历不限
上海,物业管理,21.5,经验不限,学历不限
上海,互联网金融,11.5,经验不限,学历不限
上海,互联网,15.5,5-10年,学历不限
上海,餐饮,0.6,经验不限,学历不限
上海,即时配送,13.0,经验不限,学历不限
上海,酒店/民宿,5.5,1年以内,学历不限
上海,生活服务(O2O),12.1,经验不限,学历不限
上海,其他生活服务,6.0,经验不限,学历不限
上海,物业管理,6.5,经验不限,学历不限
上海,其他生活服务,25.0,经验不限,学历不限
上海,即时配送,13.0,经验不限,学历不限
上海,人工智能,16.5,1-3年,学历不限
上海,农/林/牧/渔,9.5,1-3年,学历不限
上海,餐饮,5.5,经验不限,学历不限
上海,装修装饰,7.5,3-5年,高中
上海,餐饮,6.5,经验不限,学历不限
上海,批发/零售,8.0,经验不限,高中
上海,互联网,11.0,3-5年,学历不限
上海,互联网,20.0,经验不限,学历不限
上海,咨询,10.5,经验不限,学历不限
上海,餐饮,5.5,1-3年,学历不限
上海,餐饮,6.5,经验不限,学历不限
上海,新零售,7.0,经验不限,学历不限
上海,餐饮,7.0,经验不限,学历不限
上海,游戏,24.0,3-5年,学历不限
上海,文化艺术/娱乐,23.0,5-10年,学历不限
上海,互联网,8.5,经验不限,学历不限
上海,互联网,6.0,经验不限,学历不限
上海,餐饮,8.5,1-3年,学历不限
上海,餐饮,9.0,1-3年,学历不限
上海,家用电器,10.0,3-5年,学历不限
上海,家政服务,13.5,经验不限,学历不限
上海,生活服务(O2O),6.5,经验不限,学历不限
上海,文化艺术/娱乐,6.0,经验不限,学历不限
上海,企业服务,5.0,3-5年,学历不限
上海,旅游/景区,8.5,3-5年,高中
上海,餐饮,5.0,经验不限,学历不限
上海,餐饮,6.0,经验不限,高中
上海,客运服务,10.5,经验不限,学历不限
上海,其他生活服务,12.5,经验不限,学历不限
上海,家具/家居,10.5,3-5年,学历不限
上海,餐饮,0.66,经验不限,学历不限
上海,计算机软件,57.5,经验不限,本科
上海,电气机械/器材,6.5,1-3年,学历不限
上海,电子商务,11.0,经验不限,学历不限
上海,计算机/通信/其他电子设备,6.5,经验不限,学历不限
上海,餐饮,5.5,经验不限,学历不限
上海,休闲/娱乐,12.5,1年以内,学历不限
上海,餐饮,7.0,经验不限,学历不限
上海,文化艺术/娱乐,8.5,经验不限,学历不限
上海,银行,22.5,经验不限,学历不限
上海,休闲/娱乐,45.0,经验不限,学历不限
上海,运动/健身,5.5,1年以内,高中
上海,互联网,13.0,经验不限,学历不限
上海,美容/美发,8.5,1-3年,学历不限
上海,批发/零售,0.54,经验不限,学历不限
上海,咨询,19.5,3-5年,学历不限
上海,财务/审计/税务,7.5,经验不限,学历不限
上海,休闲/娱乐,12.5,经验不限,学历不限
上海,新能源汽车,12.5,经验不限,初中及以下
上海,物流/仓储,8.5,经验不限,学历不限
上海,餐饮,6.5,经验不限,学历不限
上海,银行,40.0,3-5年,硕士
上海,培训/辅导机构,2.46,经验不限,学历不限
上海,食品/饮料/烟酒,6.5,经验不限,学历不限
上海,医疗服务,8.0,经验不限,学历不限
上海,家政服务,10.0,经验不限,学历不限
上海,社交网络与媒体,10.5,经验不限,学历不限
上海,运动/健身,12.5,1-3年,学历不限
上海,餐饮,7.5,经验不限,学历不限
上海,食品/饮料/烟酒,10.0,经验不限,学历不限
上海,餐饮,7.5,经验不限,学历不限
上海,广播/影视,22.5,经验不限,学历不限
上海,印刷/包装/造纸,7.5,经验不限,学历不限
上海,医疗服务,7.5,经验不限,学历不限
上海,餐饮,6.5,经验不限,学历不限
上海,人工智能,80.0,5-10年,本科
上海,文化艺术/娱乐,10.0,经验不限,学历不限
上海,其他生活服务,7.5,1年以内,高中
上海,游戏,37.5,3-5年,学历不限
上海,培训/辅导机构,18.0,经验不限,学历不限
上海,装修装饰,7.5,1-3年,学历不限
上海,新能源汽车,12.5,经验不限,学历不限
上海,文化艺术/娱乐,12.5,经验不限,学历不限
上海,餐饮,8.0,1-3年,学历不限
上海,酒店/民宿,32.5,经验不限,学历不限
上海,餐饮,5.5,1-3年,学历不限
上海,装卸搬运和仓储业,13.5,3-5年,学历不限
上海,医疗健康,8.5,经验不限,学历不限
上海,公路物流,7.5,经验不限,学历不限
上海,新能源汽车,11.5,经验不限,学历不限
上海,培训/辅导机构,9.5,经验不限,学历不限
上海,休闲/娱乐,21.5,经验不限,学历不限
上海,环保,3.5,1年以内,学历不限
上海,装修装饰,8.5,1-3年,高中
上海,餐饮,0.6,经验不限,学历不限
上海,其他行业,29.0,3-5年,学历不限
上海,快递,13.5,经验不限,学历不限
上海,物业管理,7.5,1年以内,学历不限
上海,餐饮,5.5,经验不限,学历不限
上海,批发/零售,6.0,经验不限,学历不限
上海,新能源汽车,13.0,1-3年,学历不限
上海,企业服务,22.5,经验不限,学历不限
上海,餐饮,6.5,经验不限,学历不限
上海,培训/辅导机构,17.5,经验不限,学历不限
上海,社交网络与媒体,8.5,经验不限,学历不限
上海,餐饮,30.0,经验不限,学历不限
上海,生活服务(O2O),6.5,经验不限,学历不限
上海,电子商务,8.5,1-3年,学历不限
上海,投资/融资,24.0,经验不限,学历不限
上海,家政服务,23.0,经验不限,学历不限
上海,文化艺术/娱乐,55.0,经验不限,学历不限
上海,计算机服务,3.5,1年以内,学历不限
上海,批发/零售,6.0,1-3年,高中
上海,即时配送,11.5,经验不限,学历不限
上海,家政服务,10.5,经验不限,学历不限
上海,互联网,7.5,经验不限,学历不限
上海,企业服务,6.0,经验不限,学历不限
上海,保健/养生,40.0,经验不限,学历不限
上海,家政服务,8.5,1-3年,初中及以下
上海,餐饮,9.5,1-3年,学历不限
上海,餐饮,7.5,经验不限,学历不限
上海,半导体/芯片,6.6,经验不限,学历不限
上海,智能硬件,45.0,经验不限,学历不限
上海,汽车研发/制造,40.0,经验不限,学历不限
上海,医疗服务,8.5,经验不限,学历不限
上海,餐饮,5.5,经验不限,学历不限
上海,家政服务,16.0,经验不限,高中
上海,游戏,17.5,经验不限,学历不限
上海,餐饮,7.5,经验不限,学历不限
上海,其他生活服务,20.0,经验不限,学历不限
上海,互联网金融,22.5,经验不限,学历不限
上海,互联网,10.5,1-3年,学历不限
上海,其他生活服务,10.5,经验不限,初中及以下
上海,人力资源服务,10.5,经验不限,学历不限
上海,房地产中介/租赁,26.0,经验不限,高中
上海,培训/辅导机构,7.5,经验不限,学历不限
上海,快递,11.5,经验不限,学历不限
上海,休闲/娱乐,5.5,经验不限,学历不限
上海,互联网,10.0,经验不限,学历不限
上海,家政服务,10.0,经验不限,学历不限
上海,互联网金融,22.5,经验不限,初中及以下
上海,批发/零售,6.5,经验不限,学历不限
上海,企业服务,6.5,经验不限,学历不限
上海,餐饮,0.66,1-3年,高中
上海,互联网,25.0,经验不限,学历不限
上海,互联网金融,25.0,经验不限,学历不限
上海,物流/仓储,1.02,经验不限,学历不限
上海,互联网金融,12.5,经验不限,学历不限
上海,保健/养生,22.5,经验不限,学历不限
上海,生活服务(O2O),8.0,经验不限,学历不限
上海,人工智能,80.0,5-10年,硕士
上海,互联网金融,12.5,经验不限,学历不限
上海,互联网,10.0,经验不限,学历不限
上海,游戏,17.5,5-10年,学历不限
上海,大数据,10.5,经验不限,学历不限
上海,餐饮,5.5,经验不限,学历不限
上海,培训/辅导机构,,经验不限,学历不限
上海,文化艺术/娱乐,13.5,经验不限,学历不限
上海,美发,6.5,经验不限,学历不限
上海,批发/零售,8.5,经验不限,学历不限
上海,文化艺术/娱乐,9.5,经验不限,学历不限
上海,通信/网络设备,9.5,经验不限,学历不限
上海,美容,6.5,经验不限,学历不限
上海,餐饮,6.0,1年以内,初中及以下
上海,休闲/娱乐,0.48,经验不限,学历不限
上海,餐饮,6.0,经验不限,学历不限
上海,互联网,60.0,经验不限,学历不限
上海,生活服务(O2O),7.0,经验不限,学历不限
上海,游戏,18.0,3-5年,学历不限
上海,餐饮,8.5,5-10年,学历不限
上海,餐饮,7.0,经验不限,学历不限
上海,餐饮,0.66,经验不限,学历不限
上海,其他制造业,7.5,经验不限,学历不限
上海,批发/零售,7.5,经验不限,学历不限
上海,互联网,8.0,经验不限,学历不限
上海,其他金融业,17.5,经验不限,高中
上海,休闲/娱乐,22.5,经验不限,学历不限
上海,计算机软件,11.5,经验不限,学历不限
上海,餐饮,8.5,经验不限,初中及以下
上海,智能硬件/消费电子,9.9,经验不限,学历不限
上海,新能源汽车,10.0,经验不限,学历不限
上海,培训/辅导机构,30.0,经验不限,学历不限
上海,文化艺术/娱乐,45.0,经验不限,学历不限
上海,物流/仓储,5.5,经验不限,学历不限
上海,在线教育,18.0,经验不限,学历不限
上海,互联网,22.5,3-5年,学历不限
上海,餐饮,7.0,经验不限,学历不限
上海,电子商务,5.5,经验不限,高中
上海,保健/养生,7.0,经验不限,学历不限
上海,广播/影视,6.6,经验不限,学历不限
上海,生活服务(O2O),11.0,经验不限,学历不限
上海,运动/健身,19.5,经验不限,学历不限
上海,保险,10.5,经验不限,高中
上海,快递,13.0,经验不限,学历不限
上海,休闲/娱乐,7.5,经验不限,学历不限
上海,批发/零售,5.5,经验不限,学历不限
上海,医疗服务,7.5,1-3年,高中
上海,交通/运输,5.0,经验不限,学历不限
上海,食品/饮料/烟酒,5.5,1-3年,学历不限
上海,保健/养生,30.0,经验不限,学历不限
上海,社交网络与媒体,38.0,经验不限,学历不限
上海,餐饮,7.5,1-3年,学历不限
上海,其他生活服务,12.5,经验不限,学历不限
上海,生活服务(O2O),22.5,1年以内,学历不限
上海,餐饮,6.5,经验不限,学历不限
上海,餐饮,5.5,1-3年,学历不限
上海,保健/养生,17.5,经验不限,学历不限
上海,家政服务,10.5,经验不限,初中及以下
上海,互联网,6.5,1-3年,初中及以下
上海,其他专业服务,26.5,经验不限,学历不限
上海,电子/硬件开发,6.5,经验不限,学历不限
上海,生活服务(O2O),9.5,经验不限,学历不限
上海,其他行业,0.54,经验不限,学历不限
上海,游戏,30.0,3-5年,学历不限
上海,食品/饮料/烟酒,7.5,经验不限,学历不限
上海,批发/零售,9.5,1-3年,学历不限
上海,美容/美发,8.0,经验不限,学历不限
上海,电子商务,5.0,1年以内,高中
上海,物流/仓储,52.5,5-10年,本科
上海,移动互联网,20.0,3-5年,学历不限
上海,其他专业服务,9.0,经验不限,学历不限
上海,其他生活服务,15.0,经验不限,高中
上海,其他金融业,22.5,经验不限,学历不限
上海,餐饮,0.66,经验不限,学历不限
上海,美容/美发,8.5,经验不限,学历不限
上海,广告/公关/会展,8.0,1-3年,高中
上海,人力资源服务,7.0,经验不限,学历不限
上海,电子商务,,1-3年,学历不限
上海,房地产中介/租赁,22.5,经验不限,学历不限
上海,新能源汽车,60.0,经验不限,学历不限
上海,电子商务,7.5,经验不限,学历不限
上海,金属制品,6.5,经验不限,初中及以下
上海,房地产中介/租赁,10.5,经验不限,学历不限
上海,食品/饮料/烟酒,5.5,1-3年,高中
上海,即时配送,11.5,经验不限,初中及以下
上海,餐饮,0.54,经验不限,学历不限
上海,美容,10.5,1-3年,学历不限
上海,食品/饮料/烟酒,5.5,经验不限,学历不限
上海,文化艺术/娱乐,30.0,经验不限,学历不限
上海,餐饮,5.5,1年以内,学历不限
上海,即时配送,,经验不限,学历不限
上海,餐饮,9.0,5-10年,学历不限
上海,餐饮,,经验不限,学历不限
上海,互联网,14.5,经验不限,学历不限
上海,餐饮,7.5,经验不限,学历不限
上海,客运服务,13.5,经验不限,学历不限
上海,文化艺术/娱乐,30.0,经验不限,学历不限
上海,美容/美发,12.5,1-3年,初中及以下
上海,餐饮,7.0,经验不限,学历不限
上海,休闲/娱乐,30.0,经验不限,学历不限
上海,互联网,8.5,经验不限,学历不限
上海,其他生活服务,16.0,经验不限,学历不限
上海,批发/零售,10.0,1年以内,学历不限
上海,咨询,12.5,经验不限,学历不限
上海,其他消费品,6.5,经验不限,学历不限
上海,汽车后市场,11.5,5-10年,学历不限
上海,广播/影视,8.0,经验不限,学历不限
上海,服装/纺织,10.0,1-3年,学历不限
上海,互联网,22.5,经验不限,学历不限
上海,同城货运,9.5,经验不限,学历不限
上海,服装/纺织,12.5,3-5年,学历不限
上海,投资/融资,10.5,1-3年,高中
上海,保健/养生,12.5,经验不限,学历不限
上海,酒店/民宿,5.0,经验不限,学历不限
上海,其他生活服务,7.5,经验不限,学历不限
上海,互联网金融,18.0,经验不限,学历不限
上海,房地产中介/租赁,9.5,经验不限,学历不限
上海,消费电子,5.72,经验不限,学历不限
上海,游戏,18.0,3-5年,学历不限
上海,餐饮,7.0,经验不限,学历不限
上海,广播/影视,30.5,5-10年,学历不限
地区,行业,,经验不限,学历不限
北京,互联网,55.0,经验不限,学历不限
北京,互联网,40.0,3-5年,学历不限
北京,大数据,7.5,经验不限,学历不限
北京,基金,65.0,5-10年,学历不限
北京,人工智能,22.5,1-3年,学历不限
北京,休闲/娱乐,22.5,经验不限,学历不限
北京,生活服务(O2O),10.0,经验不限,学历不限
北京,互联网,9.5,经验不限,学历不限
北京,互联网,7.0,经验不限,学历不限
北京,体育,7.5,经验不限,高中
北京,文化艺术/娱乐,3.63,经验不限,学历不限
北京,生活服务(O2O),11.55,经验不限,学历不限
北京,互联网,10.5,1-3年,高中
北京,批发/零售,5.5,1-3年,学历不限
北京,互联网,8.91,经验不限,初中及以下
北京,餐饮,6.0,3-5年,学历不限
北京,餐饮,5.5,经验不限,学历不限
北京,电子商务,6.5,经验不限,学历不限
北京,餐饮,7.5,1-3年,学历不限
北京,餐饮,8.5,1-3年,学历不限
北京,文化艺术/娱乐,12.5,经验不限,学历不限
北京,基金,35.0,1-3年,学历不限
北京,餐饮,0.6,经验不限,高中
北京,在线教育,22.5,1-3年,学历不限
北京,互联网,20.0,1年以内,学历不限
北京,互联网,12.5,经验不限,学历不限
北京,生活服务(O2O),,经验不限,学历不限
北京,其他行业,37.5,经验不限,学历不限
北京,广告营销,7.0,经验不限,学历不限
北京,餐饮,0.6,经验不限,学历不限
北京,其他生活服务,5.5,经验不限,学历不限
北京,批发/零售,6.5,1-3年,学历不限
北京,休闲/娱乐,19.5,经验不限,学历不限
北京,智能硬件,40.0,1-3年,硕士
北京,其他专业服务,12.5,经验不限,学历不限
北京,医疗服务,6.0,经验不限,学历不限
北京,租赁/拍卖/典当/担保,30.0,1-3年,学历不限
北京,体育,5.5,经验不限,学历不限
北京,互联网,8.5,经验不限,学历不限
北京,职业培训,17.5,经验不限,学历不限
北京,客运服务,11.5,经验不限,学历不限
北京,餐饮,7.5,经验不限,学历不限
北京,美容/美发,9.0,3-5年,学历不限
北京,装修装饰,15.5,1-3年,学历不限
北京,智能硬件,31.5,经验不限,本科
北京,房地产中介/租赁,25.0,10年以上,学历不限
北京,新闻/出版,3.24,1-3年,学历不限
北京,互联网,55.0,经验不限,学历不限
北京,旅游/景区,9.5,1-3年,学历不限
北京,人力资源服务,7.0,经验不限,学历不限
北京,批发/零售,7.5,经验不限,学历不限
北京,汽车研发/制造,6.5,经验不限,学历不限
北京,医疗服务,10.5,经验不限,学历不限
北京,批发/零售,10.5,经验不限,学历不限
北京,新能源汽车,8.5,1-3年,高中
北京,美容,12.5,3-5年,学历不限
北京,生活服务(O2O),11.5,经验不限,学历不限
北京,智能硬件,,经验不限,学历不限
北京,餐饮,,经验不限,学历不限
北京,餐饮,0.66,经验不限,学历不限
北京,餐饮,6.0,经验不限,学历不限
北京,其他生活服务,9.5,经验不限,学历不限
北京,电子商务,45.0,经验不限,学历不限
北京,其他生活服务,12.5,1-3年,学历不限
北京,餐饮,4.5,经验不限,学历不限
北京,医疗服务,5.5,经验不限,学历不限
北京,医疗服务,5.0,1-3年,学历不限
北京,文化艺术/娱乐,12.5,经验不限,学历不限
北京,医疗服务,55.0,1-3年,学历不限
北京,医疗服务,10.0,经验不限,学历不限
北京,游戏,17.5,经验不限,学历不限
北京,珠宝/首饰,8.5,经验不限,学历不限
北京,互联网,2.28,1年以内,学历不限
北京,电子商务,30.0,经验不限,学历不限
北京,美容,9.5,1-3年,高中
北京,装卸搬运和仓储业,4.5,经验不限,高中
北京,电子商务,,经验不限,学历不限
北京,美容,5.5,1年以内,学历不限
北京,基金,65.0,经验不限,硕士
北京,餐饮,7.0,经验不限,学历不限
北京,汽车经销商,17.5,3-5年,学历不限
北京,食品/饮料/烟酒,5.5,经验不限,学历不限
北京,广告营销,7.0,1-3年,高中
北京,客运服务,10.5,经验不限,学历不限
北京,其他生活服务,8.5,1-3年,学历不限
北京,计算机软件,25.0,3-5年,本科
北京,移动互联网,16.0,经验不限,学历不限
北京,汽车经销商,8.5,经验不限,高中
北京,广告/公关/会展,8.0,经验不限,学历不限
北京,餐饮,7.0,1-3年,学历不限
北京,互联网,55.0,经验不限,学历不限
北京,基金,45.0,经验不限,学历不限
北京,基金,11.55,经验不限,学历不限
北京,互联网,55.0,经验不限,学历不限
北京,基金,55.0,经验不限,学历不限
北京,生活服务(O2O),10.5,经验不限,学历不限
北京,食品/饮料/烟酒,6.0,1-3年,学历不限
北京,餐饮,,经验不限,学历不限
北京,休闲/娱乐,2.28,经验不限,学历不限
北京,互联网,7.5,经验不限,学历不限
北京,互联网,8.0,1-3年,高中
北京,珠宝/首饰,7.5,经验不限,学历不限
北京,建筑设计,0.78,1-3年,学历不限
北京,人力资源服务,67.5,经验不限,学历不限
北京,文化艺术/娱乐,11.0,1-3年,学历不限
北京,旅游,4.5,经验不限,高中
北京,餐饮,9.5,经验不限,学历不限
北京,餐饮,0.6,经验不限,学历不限
北京,汽车研发/制造,22.0,3-5年,学历不限
北京,即时配送,11.0,经验不限,学历不限
北京,互联网,30.0,1-3年,硕士
北京,美容,45.0,1年以内,初中及以下
北京,人力资源服务,6.5,经验不限,学历不限
北京,医疗健康,14.5,经验不限,学历不限
北京,批发/零售,7.5,经验不限,学历不限
北京,医疗服务,10.5,经验不限,学历不限
北京,互联网,8.0,1-3年,学历不限
北京,装卸搬运和仓储业,9.5,经验不限,学历不限
北京,培训/辅导机构,7.5,经验不限,学历不限
北京,互联网,22.5,经验不限,学历不限
北京,新能源汽车,11.55,经验不限,学历不限
北京,生活服务(O2O),30.0,5-10年,高中
北京,美容/美发,6.5,经验不限,学历不限
北京,酒店/民宿,6.5,1年以内,学历不限
北京,美容,47.5,经验不限,学历不限
北京,广播/影视,7.5,经验不限,学历不限
北京,互联网,19.5,经验不限,学历不限
北京,在线教育,30.0,1-3年,本科
北京,计算机软件,50.0,1-3年,学历不限
北京,家政服务,7.5,1-3年,学历不限
北京,珠宝/首饰,6.5,经验不限,高中
北京,其他专业服务,12.5,经验不限,学历不限
北京,餐饮,5.5,1-3年,学历不限
北京,保健/养生,5.5,经验不限,学历不限
北京,互联网,10.0,经验不限,学历不限
北京,广告/公关/会展,22.5,5-10年,学历不限
北京,生活服务(O2O),6.0,经验不限,学历不限
北京,快递,7.0,经验不限,学历不限
北京,批发/零售,7.0,经验不限,学历不限
北京,其他行业,6.0,经验不限,学历不限
北京,在线教育,10.0,1-3年,学历不限
北京,互联网,65.0,5-10年,学历不限
北京,文化艺术/娱乐,6.5,经验不限,学历不限
北京,物流/仓储,6.5,5-10年,高中
北京,餐饮,6.5,经验不限,学历不限
北京,文化艺术/娱乐,6.0,1-3年,学历不限
北京,医疗健康,17.5,经验不限,学历不限
北京,体育,15.0,经验不限,学历不限
北京,电子商务,9.5,经验不限,学历不限
北京,装修装饰,10.0,经验不限,学历不限
北京,印刷/包装/造纸,6.5,经验不限,高中
北京,体育,10.0,1-3年,学历不限
北京,企业服务,0.66,经验不限,学历不限
北京,游戏,22.5,3-5年,学历不限
